stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,corner_placement,stop_position,on_street,at_street,heading
243,243,Rio Grande/15th,000606 15Th & Rio Grande,30.278966,-97.746339,,https://www.capmetro.org/stopdetail/index.php?stop=243,0,,,0,NW,F,15Th,Rio Grande,288
466,466,8740 Lamar/Payton Gin,008740 Lamar & Payton Gin,30.356809,-97.701066,,https://www.capmetro.org/stopdetail/index.php?stop=466,0,,,0,SW,M,Lamar,Payton Gin,227
467,467,Fairfield Station (SB),008630 Lamar & Fairfield,30.355296,-97.703128,,https://www.capmetro.org/stopdetail/index.php?stop=467,0,,,0,SW,F,Lamar,Fairfield,230
468,468,Lamar/Thurmond,008400 Lamar & Thurmond,30.353139,-97.706082,,https://www.capmetro.org/stopdetail/index.php?stop=468,0,,,0,SW,F,Lamar,Thurmond,228
469,469,8320 Lamar/Meadowlark,008320 Lamar & Meadowlark,30.352256,-97.707295,,https://www.capmetro.org/stopdetail/index.php?stop=469,0,,,0,NW,N,Lamar,Meadowlark,228
471,471,7720 Lamar/Stobaugh,007720 Lamar & Stobaugh,30.346044,-97.713966,,https://www.capmetro.org/stopdetail/index.php?stop=471,0,,,0,SW,M,Lamar,Stobaugh,210
472,472,7520 Lamar/Morrow,007520 Lamar & Morrow,30.343163,-97.715653,,https://www.capmetro.org/stopdetail/index.php?stop=472,0,,,0,SW,M,Lamar,Morrow,207
474,474,6814 Lamar/Justin,006814 Lamar & Justin,30.336204,-97.720006,,https://www.capmetro.org/stopdetail/index.php?stop=474,0,,,0,SW,F,Lamar,Justin,207
475,475,6600 Lamar/Brentwood,006600 Lamar & Brentwood,30.334109,-97.721322,,https://www.capmetro.org/stopdetail/index.php?stop=475,0,,,0,NW,N,Lamar,Brentwood,208
476,476,6200 Lamar/Denson,006200 Lamar & Denson,30.330425,-97.723636,,https://www.capmetro.org/stopdetail/index.php?stop=476,0,,,0,NW,N,Lamar,Denson,209
480,480,5528 Lamar/Koenig,005528 Lamar & Koenig,30.324247,-97.727528,,https://www.capmetro.org/stopdetail/index.php?stop=480,0,,,0,SW,M,Lamar,Koenig,208
483,483,5106 Lamar/51st,005106 Lamar & 51St,30.319051,-97.730805,,https://www.capmetro.org/stopdetail/index.php?stop=483,0,,,0,NW,N,Lamar,51St,208
484,484,Triangle Station (SB),004600 Guadalupe & Lamar,30.31463,-97.732523,,https://www.capmetro.org/stopdetail/index.php?stop=484,0,,,0,SW,M,Guadalupe,Lamar,183
485,485,4500 Guadalupe/45th,004500 Guadalupe & 45Th,30.311163,-97.732958,,https://www.capmetro.org/stopdetail/index.php?stop=485,0,,,0,NW,N,Guadalupe,45Th,209
486,486,Guadalupe/43rd Street,004300 Guadalupe & 43Rd,30.308831,-97.734395,,https://www.capmetro.org/stopdetail/index.php?stop=486,0,,,0,NW,N,Guadalupe,43Rd,208
487,487,Guadalupe/41st Street,004100 Guadalupe & 41St,30.306703,-97.735756,,https://www.capmetro.org/stopdetail/index.php?stop=487,0,,,0,NW,N,Guadalupe,41St,208
489,489,Guadalupe/Maiden,003500 Guadalupe & Maiden,30.301674,-97.73896,,https://www.capmetro.org/stopdetail/index.php?stop=489,0,,,0,NW,N,Guadalupe,Maiden,212
490,490,Guadalupe/34th Street,003402 Guadalupe & 34Th,30.300456,-97.739709,,https://www.capmetro.org/stopdetail/index.php?stop=490,0,,,0,NW,N,Guadalupe,34Th,208
494,494,Guadalupe/27th Street,002700 Guadalupe & 27Th,30.292197,-97.74131,,https://www.capmetro.org/stopdetail/index.php?stop=494,0,,,0,NW,N,Guadalupe,27Th,165
497,497,UT West Mall Station (SB),002246 Guadalupe & 23Rd,30.286064,-97.741815,,https://www.capmetro.org/stopdetail/index.php?stop=497,0,,,0,SW,M,Guadalupe,23Rd,184
498,498,Guadalupe/W. 21st Street,002026 Guadalupe & 21St,30.283384,-97.742081,,https://www.capmetro.org/stopdetail/index.php?stop=498,0,,,0,SW,M,Guadalupe,21St,183
501,501,Guadalupe/16th Street,001600 Guadalupe & 16Th,30.278962,-97.742708,,https://www.capmetro.org/stopdetail/index.php?stop=501,0,,,0,NW,N,Guadalupe,16Th,197
517,517,612 Congress/Riverside,000612 Congress & Riverside,30.255385,-97.747685,,https://www.capmetro.org/stopdetail/index.php?stop=517,0,,,0,SW,M,Congress,Riverside,197
522,522,2020 Congress/Crockett,002020 Congress & Crockett,30.243058,-97.752263,,https://www.capmetro.org/stopdetail/index.php?stop=522,0,,,0,NW,N,Congress,Crockett,199
524,524,2300 Congress/College,002300 CONGRESS & COLLEGE,30.240333,-97.752905,,https://www.capmetro.org/stopdetail/index.php?stop=524,0,,,0,SW,F,Congress,College,187
526,526,2622 Congress/Cumberland,002622 Congress & Cumberland,30.235695,-97.756374,,https://www.capmetro.org/stopdetail/index.php?stop=526,0,,,0,NW,N,Congress,Cumberland,216
527,527,2918 Congress/La Vista,002918 Congress & La Vista,30.23259,-97.75853,,https://www.capmetro.org/stopdetail/index.php?stop=527,0,,,0,NW,N,Congress,La Vista,208
529,529,Congress/Pickle,003630 Congress & Pickle,30.226896,-97.761935,,https://www.capmetro.org/stopdetail/index.php?stop=529,0,,,0,SW,F,Congress,Pickle,203
531,531,4210 Congress/Radam,004210 Congress & Radam,30.220763,-97.765411,,https://www.capmetro.org/stopdetail/index.php?stop=531,0,,,0,SW,M,Congress,Radam,209
543,543,4722 Congress/Sheraton,004722 Congress & Sheraton,30.214748,-97.769232,,https://www.capmetro.org/stopdetail/index.php?stop=543,0,,,0,SW,M,Congress,Sheraton,208
545,545,5300 Congress/Ramble,005300 Congress & Ramble,30.208685,-97.773108,,https://www.capmetro.org/stopdetail/index.php?stop=545,0,,,0,SW,F,Congress,Ramble,207
548,548,6220 Congress/North Bluff,006220 Congress & North Bluff,30.199041,-97.776595,,https://www.capmetro.org/stopdetail/index.php?stop=548,0,,,0,NW,N,Congress,North Bluff,194
550,550,115 William Cannon/Circle S,000115 William Cannon & Circle S,30.192664,-97.777841,,https://www.capmetro.org/stopdetail/index.php?stop=550,0,,,0,SW,N,William Cannon,Circle S,103
551,551,409 William Cannon/Circle S,000409 William Cannon & Circle S,30.192082,-97.776037,,https://www.capmetro.org/stopdetail/index.php?stop=551,0,,,0,SE,M,William Cannon,Circle S,114
552,552,601 William Cannon/Circle S,000601 William Cannon & Circle S,30.191387,-97.77353,,https://www.capmetro.org/stopdetail/index.php?stop=552,0,,,0,SE,M,William Cannon,Circle S,102
553,553,Nelms/Bluff Springs,001600 Nelms & Bluff Springs,30.192738,-97.765327,,https://www.capmetro.org/stopdetail/index.php?stop=553,0,,,0,SW,N,Nelms,Bluff Springs,109
554,554,Bluff Springs/William Cannon,006600 Bluff Springs & William Cannon,30.189427,-97.767879,,https://www.capmetro.org/stopdetail/index.php?stop=554,0,,,0,NW,N,Bluff Springs,William Cannon,203
555,555,412 William Cannon/North Bluff,000412 William Cannon & North Bluff,30.191773,-97.774139,,https://www.capmetro.org/stopdetail/index.php?stop=555,0,,,0,NW,M,William Cannon,North Bluff,280
556,556,110 William Cannon/Circle S,000110 William Cannon & Circle S,30.192971,-97.777955,,https://www.capmetro.org/stopdetail/index.php?stop=556,0,,,0,NW,F,William Cannon,Circle S,284
558,558,6319 Congress/Circle S,006319 Congress & Circle S,30.197392,-97.776908,,https://www.capmetro.org/stopdetail/index.php?stop=558,0,,,0,NE,M,Congress,Circle S,16
559,559,Little Texas Station (NB),005901 Congress & Little Texas,30.202145,-97.775515,,https://www.capmetro.org/stopdetail/index.php?stop=559,0,,,0,SE,N,Congress,Little Texas,13
560,560,5405 Congress/Mockingbird,005405 Congress & Mockingbird,30.207107,-97.773733,,https://www.capmetro.org/stopdetail/index.php?stop=560,0,,,0,SE,N,Congress,Mockingbird,23
568,568,Congress/Alpine,003500 Congress & Alpine,30.228248,-97.760943,,https://www.capmetro.org/stopdetail/index.php?stop=568,0,,,0,NE,F,Congress,Alpine,28
571,571,2705 Congress/Cumberland,002705 Congress & Cumberland,30.235347,-97.75633,,https://www.capmetro.org/stopdetail/index.php?stop=571,0,,,0,SE,N,Congress,Cumberland,33
573,573,2203 Congress/Live Oak,002203 Congress & Live Oak,30.241689,-97.752423,,https://www.capmetro.org/stopdetail/index.php?stop=573,0,,,0,SE,N,Congress,Live Oak,8
574,574,1901 Congress/Mary,001901 Congress & Mary,30.245024,-97.751212,,https://www.capmetro.org/stopdetail/index.php?stop=574,0,,,0,SE,N,Congress,Mary,17
576,576,Congress/The Circle,001221 Congress & The Circle,30.251531,-97.748789,,https://www.capmetro.org/stopdetail/index.php?stop=576,0,,,0,NE,M,Congress,The Circle,18
577,577,611 Congress/Academy,000611 Congress & Academy,30.25534,-97.74739,,https://www.capmetro.org/stopdetail/index.php?stop=577,0,,,0,NE,M,Congress,Academy,17
590,590,Lavaca/12th,001100 Lavaca & 12Th,30.274408,-97.742995,,https://www.capmetro.org/stopdetail/index.php?stop=590,0,,,0,SE,N,Lavaca,12Th,18
591,591,Capitol Station (NB),001200 Lavaca & 13Th,30.275587,-97.742558,,https://www.capmetro.org/stopdetail/index.php?stop=591,0,,,0,SE,N,Lavaca,13Th,17
593,593,Lavaca/15th,001415 Lavaca & 15Th,30.277383,-97.741894,,https://www.capmetro.org/stopdetail/index.php?stop=593,0,,,0,SE,N,Lavaca,15Th,17
599,599,Guadalupe/Dean Keeton,002500 Guadalupe & Dean Keeton,30.290343,-97.741236,,https://www.capmetro.org/stopdetail/index.php?stop=599,0,,,0,SE,F,Guadalupe,Dean Keeton,3
