route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,dir_abbr,sup_service_mod
1,1-143_MRG_1,2492895_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1006-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492895_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1006-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492895_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1006-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492895_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1006-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492896_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492896_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492896_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492896_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492897_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1003-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492897_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1003-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492897_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1003-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492897_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1003-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492898_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1001-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492898_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1001-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492898_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1001-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492898_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1001-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492899_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1007-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492899_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1007-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492899_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1007-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492899_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1007-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492900_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492900_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492900_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492900_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492901_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492901_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492901_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492901_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492902_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492902_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492902_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492902_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492903_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1050-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492903_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1050-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492903_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1050-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492903_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1050-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492904_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1001-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492904_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1001-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492904_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1001-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492904_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1001-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492905_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1052-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492905_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1052-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492905_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1052-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492905_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1052-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492906_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492906_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492906_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492906_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492907_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1053-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492907_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1053-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492907_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1053-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492907_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1053-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492908_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492908_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492908_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492908_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492909_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1006-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492909_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1006-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492909_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1006-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492909_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1006-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492910_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492910_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492910_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492910_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1005-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492911_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1007-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492911_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1007-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492911_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1007-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492911_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1007-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492912_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_1,46459,1,1,S,0
1,1-143_MRG_2,2492912_MRG_2,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_2,46459,1,1,S,0
1,1-143_MRG_3,2492912_MRG_3,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_3,46459,1,1,S,0
1,1-143,2492912_MRG_4,1-Lamar/South Congress SB,William Cannon,0,1004-1-143_MRG_4,46459,1,1,S,0
1,1-143_MRG_1,2492913_MRG_1,1-Lamar/South Congress SB,William Cannon,0,1002-1-143_MRG_1,46459,1,1,S,0
