service_id,date,exception_type
1-143,20210331,1
1-143,20210401,1
1-143,20210402,1
1-143,20210405,1
1-143,20210406,1
1-143,20210407,1
1-143,20210408,1
1-143,20210409,1
1-143,20210412,1
1-143,20210413,1
1-143,20210414,1
1-143,20210415,1
1-143,20210416,1
1-143,20210419,1
1-143,20210420,1
1-143,20210421,1
1-143,20210422,1
1-143,20210423,1
1-143,20210426,1
1-143,20210427,1
1-143,20210428,1
1-143,20210429,1
1-143,20210430,1
1-143,20210503,1
1-143,20210504,1
1-143,20210505,1
1-143,20210506,1
1-143,20210507,1
1-143,20210510,1
1-143,20210511,1
1-143,20210512,1
1-143,20210513,1
1-143,20210514,1
1-143,20210517,1
1-143,20210518,1
1-143,20210519,1
1-143,20210520,1
1-143,20210521,1
1-143,20210524,1
1-143,20210525,1
1-143,20210526,1
1-143,20210527,1
1-143,20210528,1
1-143,20210601,1
1-143,20210602,1
1-143,20210603,1
1-143,20210604,1
1-143_MRG_1,20210304,1
1-143_MRG_2,20210305,1
1-143_MRG_3,20210303,1
1-143_MRG_3,20210308,1
1-143_MRG_3,20210309,1
1-143_MRG_3,20210310,1
1-143_MRG_3,20210311,1
1-143_MRG_3,20210312,1
1-143_MRG_3,20210315,1
1-143_MRG_3,20210316,1
1-143_MRG_3,20210317,1
1-143_MRG_3,20210318,1
1-143_MRG_3,20210319,1
1-143_MRG_3,20210322,1
1-143_MRG_3,20210323,1
1-143_MRG_3,20210324,1
1-143_MRG_3,20210325,1
1-143_MRG_3,20210326,1
1-143_MRG_3,20210329,1
1-143_MRG_3,20210330,1
14001-143,20210304,1
14001-143,20210311,1
14001-143,20210318,1
14001-143,20210325,1
14001-143,20210401,1
14001-143,20210408,1
14001-143,20210415,1
14001-143,20210422,1
14001-143,20210429,1
14001-143,20210506,1
14001-143,20210513,1
14001-143,20210520,1
14001-143,20210527,1
14001-143,20210603,1
14101-143,20210303,1
14101-143,20210310,1
14101-143,20210317,1
14101-143,20210324,1
14101-143,20210331,1
14101-143,20210407,1
14101-143,20210414,1
14101-143,20210421,1
14101-143,20210428,1
14101-143,20210505,1
14101-143,20210512,1
14101-143,20210519,1
14101-143,20210526,1
14101-143,20210602,1
21005-143,20210307,1
21005-143,20210321,1
21005-143,20210328,1
21005-143,20210404,1
21005-143,20210411,1
21005-143,20210418,1
21005-143,20210425,1
21005-143,20210502,1
21005-143,20210509,1
21005-143,20210516,1
24105-143,20210307,1
24105-143,20210314,1
24105-143,20210321,1
24105-143,20210328,1
24105-143,20210404,1
24105-143,20210411,1
24105-143,20210418,1
24105-143,20210425,1
24105-143,20210502,1
24105-143,20210509,1
24105-143,20210516,1
24105-143,20210523,1
24105-143,20210530,1
24105-143,20210531,1
26104-143,20210306,1
26104-143,20210313,1
26104-143,20210320,1
26104-143,20210327,1
26104-143,20210403,1
26104-143,20210410,1
26104-143,20210417,1
26104-143,20210424,1
26104-143,20210501,1
26104-143,20210508,1
26104-143,20210515,1
26104-143,20210522,1
26104-143,20210529,1
26104-143,20210605,1
26201-143,20210305,1
26201-143,20210312,1
26201-143,20210319,1
26201-143,20210326,1
26201-143,20210402,1
26201-143,20210409,1
26201-143,20210416,1
26201-143,20210423,1
26201-143,20210430,1
26201-143,20210507,1
26201-143,20210514,1
26201-143,20210521,1
26201-143,20210528,1
26201-143,20210604,1
4-143,20210403,1
4-143,20210410,1
4-143,20210417,1
4-143,20210424,1
4-143,20210501,1
4-143,20210508,1
4-143,20210515,1
4-143,20210522,1
4-143,20210529,1
4-143,20210605,1
4-143_MRG_1,20210306,1
4-143_MRG_2,20210313,1
4-143_MRG_2,20210320,1
4-143_MRG_2,20210327,1
40801-143,20210308,1
40801-143,20210315,1
40801-143,20210322,1
40801-143,20210329,1
40801-143,20210405,1
40801-143,20210412,1
40801-143,20210419,1
40801-143,20210426,1
40801-143,20210503,1
40801-143,20210510,1
40801-143,20210517,1
40801-143,20210524,1
4701-143,20210303,1
4701-143,20210308,1
4701-143,20210309,1
4701-143,20210310,1
4701-143,20210311,1
4701-143,20210312,1
4701-143,20210322,1
4701-143,20210323,1
4701-143,20210324,1
4701-143,20210325,1
4701-143,20210326,1
4701-143,20210329,1
4701-143,20210330,1
4701-143,20210331,1
4701-143,20210401,1
4701-143,20210402,1
4701-143,20210405,1
4701-143,20210406,1
4701-143,20210407,1
4701-143,20210408,1
4701-143,20210409,1
4701-143,20210412,1
4701-143,20210413,1
4701-143,20210414,1
4701-143,20210415,1
4701-143,20210416,1
4701-143,20210419,1
4701-143,20210420,1
4701-143,20210421,1
4701-143,20210422,1
4701-143,20210423,1
4701-143,20210426,1
4701-143,20210427,1
4701-143,20210428,1
4701-143,20210429,1
4701-143,20210430,1
4701-143,20210503,1
4701-143,20210504,1
4701-143,20210505,1
4701-143,20210506,1
4701-143,20210507,1
4701-143,20210510,1
4701-143,20210511,1
4701-143,20210512,1
4701-143,20210513,1
4701-143,20210514,1
4701-143,20210517,1
4701-143,20210518,1
4701-143,20210603,1
4701-143,20210604,1
4701-143_MRG_1,20210305,1
4701-143_MRG_2,20210304,1
4801-143,20210601,1
4801-143,20210602,1
4904-143,20210515,1
5-143,20210404,1
5-143,20210411,1
5-143,20210418,1
5-143,20210425,1
5-143,20210502,1
5-143,20210509,1
5-143,20210516,1
5-143,20210523,1
5-143,20210530,1
5-143,20210531,1
5-143_MRG_1,20210307,1
5-143_MRG_1,20210314,1
5-143_MRG_1,20210321,1
5-143_MRG_1,20210328,1
