route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,North Lamar/South Congress,,3,http://www.capmetro.org/current_schedules/pdf/001.pdf,004A97,FFFFFF
2,1,2,Rosewood,,3,http://www.capmetro.org/current_schedules/pdf/002.pdf,004A97,FFFFFF
3,1,3,Burnet/Manchaca,,3,http://www.capmetro.org/current_schedules/pdf/003.pdf,004A97,FFFFFF
4,1,4,7th Street,,3,http://www.capmetro.org/current_schedules/pdf/004.pdf,004A97,FFFFFF
5,1,5,Woodrow/Lamar,,3,http://www.capmetro.org/current_schedules/pdf/005.pdf,004A97,FFFFFF
6,1,6,East 12th,,3,http://www.capmetro.org/current_schedules/pdf/006.pdf,004A97,FFFFFF
7,1,7,Duval / Dove Springs,,3,http://www.capmetro.org/current_schedules/pdf/007.pdf,004A97,FFFFFF
10,1,10,South 1st/Red River,,3,http://www.capmetro.org/current_schedules/pdf/010.pdf,004A97,FFFFFF
17,1,17,Cesar Chavez,,3,http://www.capmetro.org/current_schedules/pdf/017.pdf,004A97,FFFFFF
18,1,18,Martin Luther King,,3,http://www.capmetro.org/current_schedules/pdf/018.pdf,004A97,FFFFFF
19,1,19,Bull Creek,,3,http://www.capmetro.org/current_schedules/pdf/019.pdf,004A97,FFFFFF
20,1,20,Manor Rd/Riverside,,3,http://www.capmetro.org/current_schedules/pdf/020.pdf,004A97,FFFFFF
30,1,30,Barton Creek Sq,,3,http://www.capmetro.org/current_schedules/pdf/030.pdf,004A97,FFFFFF
50,1,50,Round Rock Howard Station,,3,http://www.capmetro.org/current_schedules/pdf/050.pdf,004A97,FFFFFF
51,1,51,Round Rock Circulator,,3,http://www.capmetro.org/current_schedules/pdf/051.pdf,004A97,FFFFFF
103,1,103,Manchaca Flyer,,3,http://www.capmetro.org/current_schedules/pdf/103.pdf,555555,FFFFFF
105,1,105,South 5th Flyer,,3,http://www.capmetro.org/current_schedules/pdf/105.pdf,555555,FFFFFF
111,1,111,South Mopac Flyer,,3,http://www.capmetro.org/current_schedules/pdf/111.pdf,555555,FFFFFF
135,1,135,Dell Limited,,3,http://www.capmetro.org/current_schedules/pdf/135.pdf,555555,FFFFFF
142,1,142,Metric Flyer,,3,http://www.capmetro.org/current_schedules/pdf/142.pdf,555555,FFFFFF
150,1,150,150 ROUND ROCK HOWARD LIMITED,,3,http://www.capmetro.org/current_schedules/pdf/150.pdf,555555,FFFFFF
152,1,152,Round Rock Tech Ridge Limited,,3,http://www.capmetro.org/current_schedules/pdf/152.pdf,555555,FFFFFF
171,1,171,Oak Hill Flyer,,3,http://www.capmetro.org/current_schedules/pdf/171.pdf,555555,FFFFFF
201,1,201,Southpark Meadows,,3,http://www.capmetro.org/current_schedules/pdf/201.pdf,004A97,FFFFFF
214,1,214,Northwest Feeder,,3,http://www.capmetro.org/current_schedules/pdf/214.pdf,004A97,FFFFFF
217,1,217,Montopolis Feeder,,3,http://www.capmetro.org/current_schedules/pdf/217.pdf,004A97,FFFFFF
228,1,228,VA Clinic,,3,http://www.capmetro.org/current_schedules/pdf/228.pdf,004A97,FFFFFF
233,1,233,Decker/Daffan Ln,,3,http://www.capmetro.org/current_schedules/pdf/233.pdf,004A97,FFFFFF
237,1,237,Northeast Feeder,,3,http://www.capmetro.org/current_schedules/pdf/237.pdf,004A97,FFFFFF
243,1,243,Wells Branch,,3,http://www.capmetro.org/current_schedules/pdf/243.pdf,004A97,FFFFFF
271,1,271,Del Valle,,3,http://www.capmetro.org/current_schedules/pdf/271.pdf,004A97,FFFFFF
300,1,300,Springdale/Oltorf,,3,http://www.capmetro.org/current_schedules/pdf/300.pdf,004A97,FFFFFF
310,1,310,Parker/Wickersham,,3,http://www.capmetro.org/current_schedules/pdf/310.pdf,004A97,FFFFFF
311,1,311,Stassney,,3,http://www.capmetro.org/current_schedules/pdf/311.pdf,004A97,FFFFFF
315,1,315,Ben White,,3,http://www.capmetro.org/current_schedules/pdf/315.pdf,004A97,FFFFFF
318,1,318,Westgate/Slaughter,,3,http://www.capmetro.org/current_schedules/pdf/318.pdf,004A97,FFFFFF
322,1,322,Chicon/Cherrywood,,3,http://www.capmetro.org/current_schedules/pdf/322.pdf,004A97,FFFFFF
323,1,323,Anderson,,3,http://www.capmetro.org/current_schedules/pdf/323.pdf,004A97,FFFFFF
324,1,324,Georgian/Ohlen,,3,http://www.capmetro.org/current_schedules/pdf/324.pdf,004A97,FFFFFF
325,1,325,Metric/Rundberg,,3,http://www.capmetro.org/current_schedules/pdf/325.pdf,004A97,FFFFFF
333,1,333,William Cannon,,3,http://www.capmetro.org/current_schedules/pdf/333.pdf,004A97,FFFFFF
335,1,335,335 35th/38th,,3,http://www.capmetro.org/current_schedules/pdf/335.pdf,004A97,FFFFFF
337,1,337,Koenig/Colony Park,,3,http://www.capmetro.org/current_schedules/pdf/337.pdf,004A97,FFFFFF
339,1,339,Tuscany,,3,http://www.capmetro.org/current_schedules/pdf/339.pdf,004A97,FFFFFF
345,1,345,45th,,3,http://www.capmetro.org/current_schedules/pdf/345.pdf,004A97,FFFFFF
350,1,350,Airport Blvd,,3,http://www.capmetro.org/current_schedules/pdf/350.pdf,004A97,FFFFFF
383,1,383,Research,,3,http://www.capmetro.org/current_schedules/pdf/383.pdf,004A97,FFFFFF
392,1,392,Braker,,3,http://www.capmetro.org/current_schedules/pdf/392.pdf,004A97,FFFFFF
465,1,465,MLK/University of Texas,,3,http://www.capmetro.org/current_schedules/pdf/465.pdf,004A97,FFFFFF
466,1,466,Kramer/Domain,,3,http://www.capmetro.org/current_schedules/pdf/466.pdf,004A97,FFFFFF
490,1,490,HEB Shuttle,,3,http://www.capmetro.org/current_schedules/pdf/490.pdf,004A97,FFFFFF
491,1,491,Allandale,,3,http://www.capmetro.org/current_schedules/pdf/491.pdf,004A97,FFFFFF
492,1,492,Delwood,,3,http://www.capmetro.org/current_schedules/pdf/492.pdf,004A97,FFFFFF
493,1,493,Eastview,,3,http://www.capmetro.org/current_schedules/pdf/493.pdf,004A97,FFFFFF
550,1,550,Metro Rail Red Line,,0,http://www.capmetro.org/current_schedules/pdf/550.pdf,E2231A,FFFFFF
640,1,640,Forty Acres,,3,http://www.capmetro.org/current_schedules/pdf/640.pdf,004A97,FFFFFF
641,1,641,East Campus,,3,http://www.capmetro.org/current_schedules/pdf/641.pdf,004A97,FFFFFF
642,1,642,West Campus/UT,,3,http://www.capmetro.org/current_schedules/pdf/642.pdf,004A97,FFFFFF
656,1,656,Intramural Fields/UT,,3,http://www.capmetro.org/current_schedules/pdf/656.pdf,004A97,FFFFFF
661,1,661,Far West/UT,,3,http://www.capmetro.org/current_schedules/pdf/661.pdf,004A97,FFFFFF
663,1,663,Lake Austin/UT,,3,http://www.capmetro.org/current_schedules/pdf/663.pdf,004A97,FFFFFF
670,1,670,Crossing Place,,3,http://www.capmetro.org/current_schedules/pdf/670.pdf,004A97,FFFFFF
671,1,671,North Riverside,,3,http://www.capmetro.org/current_schedules/pdf/671.pdf,004A97,FFFFFF
672,1,672,Lakeshore,,3,http://www.capmetro.org/current_schedules/pdf/672.pdf,004A97,FFFFFF
801,1,801,N Lamar S Congress,,3,http://www.capmetro.org/current_schedules/pdf/801.pdf,555555,FFFFFF
803,1,803,Burnet/S Lamar,,3,http://www.capmetro.org/current_schedules/pdf/803.pdf,555555,FFFFFF
935,1,935,Tech Ridge Express,,3,http://www.capmetro.org/current_schedules/pdf/935.pdf,E2231A,FFFFFF
982,1,982,Pavilion Express,,3,http://www.capmetro.org/current_schedules/pdf/982.pdf,E2231A,FFFFFF
985,1,985,Leander/Lakeline Direct,,3,http://www.capmetro.org/current_schedules/pdf/985.pdf,E2231A,FFFFFF
990,1,990,Manor/Elgin Express,,3,http://www.capmetro.org/current_schedules/pdf/990.pdf,E2231A,FFFFFF
