from_stop_id,to_stop_id,transfer_type,min_transfer_time
6331,2055,2,300
6331,6271,2,300
6331,6272,2,300
6331,6330,2,300
6332,5483,2,300
6334,5842,2,300
6334,5843,2,300
6335,5925,2,300
6335,5926,2,300
6335,6303,2,325
6335,6343,2,300
6336,1701,2,300
6336,1785,2,300
6336,1787,2,300
6336,3843,2,335
6336,5283,2,300
6336,6337,2,300
6337,1701,2,300
6337,1787,2,300
6337,5283,2,300
6337,6336,2,300
6340,1794,2,300
6340,3273,2,300
6340,5684,2,300
6342,1313,2,300
6342,1402,2,300
6342,2871,2,340
6342,4709,2,306
6342,6346,2,300
6343,5925,2,300
6343,5926,2,300
6343,6303,2,300
6343,6335,2,300
6345,2107,2,532
6345,2110,2,300
6345,2111,2,300
6345,2112,2,300
6345,2612,2,300
6345,2613,2,300
6345,2643,2,300
6345,5219,2,300
6345,5498,2,417
6345,5499,2,504
6345,5867,2,300
6345,5868,2,300
6345,5938,2,598
6345,5944,2,300
6345,6275,2,300
6346,2871,2,300
6346,4709,2,300
6346,4711,2,300
6346,6342,2,300
6346,6431,2,328
6348,466,2,300
6348,467,2,300
6348,627,2,300
6355,6356,2,300
6356,543,2,300
6356,4272,2,300
6356,6355,2,300
6357,6358,2,300
6358,6357,2,300
6360,483,2,300
6360,611,2,300
6360,612,2,300
6360,613,2,300
6361,6322,2,331
6361,6327,2,300
6361,6362,2,560
6362,6327,2,371
6362,6361,2,560
6363,620,2,300
6363,1296,2,300
6363,1417,2,300
6363,2878,2,300
6363,5538,2,300
6363,5604,2,300
6363,5605,2,300
6363,5606,2,300
6364,6365,2,300
6365,6364,2,300
6366,847,2,300
6366,848,2,300
6366,936,2,300
6366,937,2,300
6366,938,2,300
6366,1349,2,314
6366,1368,2,529
6366,1369,2,307
6366,2803,2,538
6366,3337,2,300
6367,1021,2,300
6367,1022,2,300
6367,3526,2,300
6367,4288,2,371
6367,5774,2,300
6367,5779,2,394
6367,6428,2,382
6368,951,2,300
6368,2280,2,300
6368,5728,2,300
6369,1089,2,300
6369,1131,2,300
6369,1132,2,300
6369,5461,2,300
6370,5937,2,338
6370,5949,2,300
6370,6315,2,300
6372,517,2,300
6372,577,2,303
6372,1249,2,319
6372,1566,2,300
6372,1655,2,307
6372,1656,2,300
6372,1718,2,320
6372,2767,2,300
6372,3846,2,300
6373,733,2,481
6373,734,2,564
6373,764,2,541
6373,1745,2,471
6373,1746,2,383
6373,1747,2,578
6373,1748,2,699
6373,1754,2,602
6373,1756,2,569
6373,2216,2,300
6373,2218,2,556
6373,4212,2,300
6373,4213,2,300
6373,4218,2,813
6373,4230,2,570
6373,4231,2,300
6373,4235,2,446
6373,6374,2,300
6373,6375,2,300
6373,6377,2,300
6373,6379,2,300
6374,733,2,452
6374,764,2,511
6374,1745,2,428
6374,1746,2,340
6374,2216,2,300
6374,4212,2,300
6374,4213,2,300
6374,4231,2,300
6374,4235,2,416
6374,6373,2,300
6374,6375,2,300
6374,6377,2,300
6374,6379,2,300
6375,733,2,444
6375,1745,2,407
6375,1746,2,319
6375,2216,2,300
6375,4212,2,300
6375,4213,2,300
6375,4231,2,300
6375,4235,2,409
6375,6373,2,300
6375,6374,2,300
6375,6377,2,300
6375,6379,2,300
6377,733,2,373
6377,764,2,433
6377,1745,2,376
6377,1746,2,300
6377,2216,2,300
6377,4212,2,300
6377,4213,2,300
6377,4231,2,300
6377,4235,2,338
6377,6373,2,300
6377,6374,2,300
6377,6375,2,300
6377,6379,2,300
6379,733,2,418
6379,764,2,478
6379,1745,2,471
6379,1746,2,383
6379,2216,2,300
6379,4212,2,300
6379,4213,2,300
6379,4231,2,300
6379,4235,2,383
6379,6373,2,300
6379,6374,2,300
6379,6375,2,300
6379,6377,2,300
6382,864,2,329
6382,5209,2,300
6384,2281,2,324
6384,5981,2,320
6384,5982,2,300
6384,6183,2,300
6385,5007,2,300
6385,5637,2,456
6386,1138,2,300
6386,5007,2,303
6386,5637,2,517
6386,5912,2,300
6387,5483,2,300
6387,5794,2,300
6387,5932,2,359
6387,6409,2,300
6388,5855,2,371
6388,5856,2,300
6390,6391,2,300
6391,6390,2,300
6392,6393,2,300
6393,5943,2,367
6393,6392,2,300
6394,864,2,805
6394,2112,2,397
6394,2605,2,300
6394,2606,2,300
6394,2611,2,339
6394,2612,2,379
6394,2613,2,456
6394,2643,2,386
6394,4007,2,303
6394,5867,2,419
6394,5868,2,427
6394,5937,2,300
6394,5938,2,300
6394,5950,2,378
6394,5965,2,300
6394,6314,2,300
6404,1957,2,300
6404,2045,2,300
6407,4404,2,300
6407,4909,2,300
6407,4915,2,300
6407,5999,2,300
6408,1925,2,455
6408,5421,2,300
6409,5483,2,300
6409,5794,2,300
6409,5932,2,388
6409,6387,2,300
6413,942,2,300
6413,6242,2,300
6413,6447,2,300
6413,6448,2,300
6413,6450,2,300
6414,6261,2,300
6416,1143,2,300
6416,6417,2,300
6416,6418,2,300
6417,1143,2,300
6417,6416,2,300
6417,6418,2,300
6418,1143,2,300
6418,6416,2,300
6418,6417,2,300
6419,3931,2,300
6419,5193,2,534
6419,5446,2,360
6419,5447,2,377
6419,6421,2,300
6419,6423,2,300
6419,6424,2,300
6421,3931,2,300
6421,5446,2,389
6421,5447,2,405
6421,6419,2,300
6421,6423,2,300
6421,6424,2,300
6423,3931,2,300
6423,5193,2,567
6423,5446,2,393
6423,5447,2,410
6423,6419,2,300
6423,6421,2,300
6423,6424,2,300
6424,3931,2,300
6424,5193,2,552
6424,5446,2,379
6424,5447,2,395
6424,6419,2,300
6424,6421,2,300
6424,6423,2,300
6427,4756,2,300
6427,5719,2,300
6428,1005,2,300
6428,1028,2,300
6428,1029,2,329
6428,4288,2,300
6428,4298,2,300
6428,5194,2,300
6428,6367,2,382
6428,6442,2,300
6431,2433,2,300
6431,2459,2,300
6431,2870,2,300
6431,2871,2,300
6431,4711,2,313
6431,5286,2,300
6431,6346,2,328
6433,3083,2,300
6433,5123,2,300
6433,5325,2,300
6439,832,2,300
6442,1005,2,300
6442,1029,2,300
6442,4288,2,300
6442,5194,2,300
6442,5779,2,300
6442,6428,2,300
6443,5554,2,300
6446,6317,2,300
6447,6242,2,300
6447,6413,2,300
6447,6448,2,300
6447,6450,2,300
6448,6242,2,300
6448,6413,2,300
6448,6447,2,300
6448,6450,2,300
6450,6242,2,300
6450,6413,2,300
6450,6447,2,300
6450,6448,2,300
6452,469,2,300
6452,4536,2,300
6452,5225,2,300
6452,5226,2,300
6452,5227,2,300
6452,5859,2,300
2768,4134,2,300
2768,4135,2,342
2768,4586,2,300
2768,5092,2,756
2768,5624,2,391
2768,5992,2,370
2780,497,2,305
2780,498,2,300
2780,1042,2,300
2780,5178,2,300
2780,5865,2,300
2780,6159,2,300
2803,1349,2,300
2803,1366,2,381
2803,1367,2,300
2803,1368,2,300
2803,6366,2,538
2810,1802,2,300
2810,1847,2,300
2810,5535,2,345
2811,993,2,300
2811,995,2,300
2811,1038,2,300
2811,2605,2,926
2811,5633,2,300
2812,1799,2,300
2812,1849,2,300
2812,1850,2,300
2821,2583,2,300
2821,2585,2,300
2821,3075,2,311
2821,3130,2,873
2821,3147,2,300
2821,3148,2,300
2821,3150,2,700
2821,4539,2,300
2821,4540,2,300
2821,5445,2,300
2823,2831,2,300
2825,2829,2,300
2829,2825,2,300
2831,2823,2,300
2856,1103,2,300
2856,1105,2,300
2856,1118,2,300
2856,2023,2,300
2856,2024,2,300
2856,2025,2,300
2856,2062,2,343
2856,2063,2,300
2856,2064,2,334
2863,2015,2,300
2864,2013,2,300
2864,2014,2,300
2864,2071,2,300
2864,4738,2,300
2864,6285,2,300
2870,2433,2,300
2870,2459,2,360
2870,5286,2,395
2870,6431,2,300
2871,2433,2,340
2871,4709,2,300
2871,4711,2,300
2871,6342,2,340
2871,6346,2,300
2871,6431,2,300
2874,1157,2,300
2874,1158,2,300
2874,1159,2,300
2874,1275,2,300
2874,1276,2,300
2874,2880,2,300
2877,474,2,300
2877,1159,2,425
2877,1273,2,301
2877,1274,2,347
2877,5509,2,367
2877,5538,2,310
2877,5604,2,318
2877,5606,2,300
2877,5860,2,300
2878,620,2,300
2878,1296,2,300
2878,1417,2,300
2878,5538,2,300
2878,5604,2,300
2878,5605,2,300
2878,5606,2,300
2878,5860,2,302
2878,6363,2,300
2880,1157,2,300
2880,1158,2,300
2880,1159,2,300
2880,1275,2,300
2880,1276,2,300
2880,2874,2,300
2880,5605,2,300
2886,1307,2,300
2886,1408,2,300
2886,1409,2,300
2886,1410,2,306
2886,4713,2,300
2908,1902,2,323
2908,1904,2,300
2908,5855,2,579
2913,806,2,300
2913,807,2,300
2913,809,2,366
2913,1998,2,488
2913,1999,2,362
2913,4646,2,300
2913,5978,2,342
2917,1540,2,300
2917,1685,2,300
2917,2640,2,300
2917,2918,2,300
2917,3172,2,300
2917,4396,2,379
2917,4397,2,300
2918,1540,2,300
2918,1683,2,300
2918,2639,2,300
2918,2640,2,300
2918,2917,2,300
2918,3172,2,300
2918,3234,2,300
2918,4396,2,300
2918,4397,2,300
2918,4398,2,300
2933,2976,2,300
2933,3766,2,300
2933,3767,2,313
2934,2935,2,300
2934,2974,2,300
2934,2975,2,300
2935,2934,2,300
2935,2974,2,300
2935,2975,2,300
2938,4411,2,312
2938,4412,2,300
2974,2934,2,300
2974,2935,2,300
