stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6,YALCOVWM,YALE@COVINGTON PIKE,YALE RD & CONNECTING RD,35.221558,-89.897067,,,,,,0
7,AIRKETSN,AIRWAYS BLVD@KETCHUM,AIRWAYS BLVD & KETCHUM RD,35.079543,-89.984917,,,,,,0
10,CLEMA1SN,CLEVELAND@MADISON,N CLEVELAND ST & COURT AVE,35.13902,-90.016438,,,,,,0
15,FOUGEOSF,4TH ST@ GEORGIA AVE,S 4TH ST & E GEORGIA AVE,35.128896,-90.050605,,,,,,0
24,FROGEPNN,CENTRAL STATION,S FRONT ST & E CALHOUN AVE,35.132731,-90.060719,,,,,,0
27,PAUJEFSF,PAULINE@JEFFERSON,,35.142688,-90.027691,,,,,,0
28,CLEMA1NN,CLEVELAND@MADISON,S CLEVELAND ST & MADISON AVE,35.138769,-90.016261,,,,,,0
30,EPAYOUNF,E PARKWAY S@YOUNG AVE,E PARKWAY S & OLIVER AVE,35.119858,-89.984198,,,,,,0
32,MEMINT,MEMPHIS INTERNATIONAL AIRPORT,,35.044694,-89.981054,,,,,,0
33,COOMADNN,COOPER ST@MADISON AVE,,35.136181,-89.990255,,,,,,0
34,CENHOLEF,CENTRAL AVE@HOLLYWOOD ST,CENTRAL AVE & S HOLLYWOOD ST,35.125678,-89.975804,,,,,,0
41,ELVNORNF,ELVIS P. @ NORRIS,S BELLEVUE BLVD & E DEMPSTER AVE,35.083495,-90.018401,,,,,,0
45,KETPENSN,KETCHUM@PENDLETON,KETCHUM RD & DRIVEWAY,35.080552,-89.972287,,,,,,0
46,LAPDU1SN,LAPALOMA@DUNN,LAPALOMA ST & MURLEY AVE,35.092163,-89.998751,,,,,,0
47,PILETHNN,PILLOW@ETHLYN,PILLOW ST & ETHLYN AVE,35.104549,-90.014913,,,,,,0
48,MCLCOLWN,MCLEMORE@COLLEGE,E MCLEMORE AVE & COLLEGE ST,35.115566,-90.030704,,,,,,0
49,LAUVANNN,LAUDERDALE@VANCE,S LAUDERDALE ST & GRACE ALY,35.134534,-90.043632,,,,,,0
54,LAUVANSF,LAUDERDALE ST@VANCE AVE,S LAUDERDALE ST & VANCE AVE,35.134507,-90.043776,,,,,,0
55,MCLCOLEN,MCLEMORE AVE@COLLEGE ST,E MCLEMORE AVE & COLLEGE ST,35.115459,-90.030638,,,,,,0
56,PILET1SN,PILLOW ST@ETHLYN AVE,,35.104826,-90.015101,,,,,,0
57,LAPDUNNF,LAPALOMA ST@DUNN AVE,LAPALOMA ST & MURLEY AVE,35.092136,-89.998585,,,,,,0
58,PENKE1SN,PENDLETON ST @KETCHUM RD,PENDLETON ST & KNIGHT ARNOLD RD,35.080615,-89.972099,,,,,,0
62,ELVNORSF,ELVIS PRESLEY BLVD@ NORRIS RD,,35.083138,-90.018633,,,,,,0
68,LAMEPAWN,LAMAR AVE@EAST PKWY S,LAMAR AVE & E PARKWAY S,35.110587,-89.991687,,,,,,0
72,IRS,IRS,,35.001947,-89.936824,,,,,,0
79,AIRWINNN,AIR PARK@WINCHESTER,,35.051536,-89.931321,,,,,,0
80,3,AMERICAN WAY TRANSIT CENTER,,35.076267,-89.932316,,,,,,0
81,LAMSPKEF,LAMAR AVE@EAST PKWY S,US HWY 78 & LAMAR AVE,35.110166,-89.991355,,,,,,0
91,KANINGNN,KANSAS@INGLE,KANSAS ST & INGLE AVE,35.100192,-90.06507,,,,,,0
95,LAMKNINF,LAMAR AVE@KNIGHT ARNOLD,LAMAR AVE & KNIGHT ARNOLD RD,35.065052,-89.941292,,,,,,0
99,WATJACNN,WATKINS@JACKSON,N WATKINS ST & ONTARIO AVE,35.157936,-90.011709,,,,,,0
100,WATLOUN,WATKINS@LOUISVILLE,,35.175745,-90.008362,,,,,,0
101,WATDELNF,WATKINS @ DELANO,N WATKINS ST & WINDCREST RD,35.199515,-90.00769,,,,,,0
107,RANWHISF,RANGE LINE@WHITNEY,RANGE LINE RD & LAKECREST CIR,35.207733,-89.975847,,,,,,0
110,WATDELSF,WATKINS @ DELANO,N WATKINS ST & ONTARIO AVE,35.199149,-90.007912,,,,,,0
111,1006,WATKINS ST@LEVEE RD,? N WATKINS ST & LEVEE RD,35.175968,-90.008462,,,,,,0
112,WATJA2SN,WATKINS @ JACKSON,N WATKINS ST & RALEIGH SPRINGS MALL,35.158285,-90.011708,,,,,,0
116,LAMKNION,LAMAR AVE@KNIGHT ARNOLD RD,LAMAR AVE & LYNHURST AVE,35.064909,-89.941315,,,,,,0
122,NEERAINF,NEELY RD @ RAINES RD,NEELY RD & SULLIVAN DR,35.034859,-90.056166,,,,,,0
123,THIPEENF,THIRD ST AT PEEBLES RD,US HWY 61 & STATE HWY 14,35.066596,-90.058748,,,,,,0
131,STECORNM,STEELE ST@CORNING AVE,,35.22521,-90.014882,,,,,,0
