route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5134,2,541140,DOWNTOWN - WALKER - AIRWAYS TC,,0,41622,37209,0,0
5134,2,541129,DOWNTOWN - WALKER - AIRWAYS TC,,0,41620,37209,0,0
5134,2,541130,DOWNTOWN - WALKER - AIRWAYS TC,,0,41621,37209,0,0
5134,2,541131,DOWNTOWN - WALKER - AIRWAYS TC,,0,41622,37209,0,0
5134,2,541132,DOWNTOWN - WALKER - AIRWAYS TC,,0,41620,37209,0,0
5134,2,541133,DOWNTOWN - WALKER - AIRWAYS TC,,0,41621,37209,0,0
5134,2,541134,DOWNTOWN - WALKER - AIRWAYS TC,,0,41622,37209,0,0
5134,2,541135,DOWNTOWN - WALKER - AIRWAYS TC,,0,41620,37209,0,0
5134,2,541136,DOWNTOWN - WALKER - AIRWAYS TC,,0,41621,37209,0,0
5134,2,541137,DOWNTOWN - WALKER - AIRWAYS TC,,0,41622,37209,0,0
5134,2,541143,AIRWAY TC - WALKER - DOWNTOWN,,1,41622,37208,0,0
5134,2,541144,AIRWAY TC - WALKER - DOWNTOWN,,1,41620,37208,0,0
5134,2,541145,AIRWAY TC - WALKER - DOWNTOWN,,1,41621,37208,0,0
5134,2,541146,AIRWAY TC - WALKER - DOWNTOWN,,1,41622,37208,0,0
5134,2,541147,AIRWAY TC - WALKER - DOWNTOWN,,1,41620,37208,0,0
5134,2,541148,AIRWAY TC - WALKER - DOWNTOWN,,1,41621,37208,0,0
5134,2,541149,AIRWAY TC - WALKER - DOWNTOWN,,1,41622,37208,0,0
5134,2,541150,AIRWAY TC - WALKER - DOWNTOWN,,1,41620,37208,0,0
5135,2,540942,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41602,37210,0,0
5135,2,540944,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41603,37210,0,0
5135,2,540946,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41602,37210,0,0
5135,2,540948,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41603,37210,0,0
5135,2,540950,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41602,37210,0,0
5135,2,540952,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41603,37210,0,0
5135,2,540954,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41602,37210,0,0
5135,2,540956,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41603,37210,0,0
5135,2,540958,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41602,37210,0,0
5135,2,540960,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41603,37210,0,0
5135,2,540962,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41602,37210,0,0
5135,2,540964,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41603,37210,0,0
5135,2,540966,01 DOWNTOWN - UNION - JOHNSON CIR,,0,41602,37210,0,0
5135,2,540978,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41602,37211,0,0
5135,2,540980,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41603,37211,0,0
5135,2,540982,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41602,37211,0,0
5135,2,540984,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41603,37211,0,0
5135,2,540986,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41602,37211,0,0
5135,2,540988,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41603,37211,0,0
5135,2,540990,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41602,37211,0,0
5135,2,540992,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41603,37211,0,0
5135,2,540994,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41602,37211,0,0
5135,2,540996,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41603,37211,0,0
5135,2,540998,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41602,37211,0,0
5135,2,541000,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41603,37211,0,0
5135,2,541002,01 JOHNSON CIR - UNION - DOWNTOWN,,1,41602,37211,0,0
5137,2,541152,AMERICAN WAY TC - GETWELL,,0,41624,37056,0,0
5137,2,541153,AMERICAN WAY TC - GETWELL,,0,41623,37056,0,0
5137,2,541154,AMERICAN WAY TC - GETWELL,,0,41624,37056,0,0
5137,2,541155,AMERICAN WAY TC - GETWELL,,0,41623,37056,0,0
5137,2,541156,AMERICAN WAY TC - GETWELL,,0,41624,37056,0,0
5137,2,541157,AMERICAN WAY TC - GETWELL,,0,41623,37056,0,0
5137,2,541158,AMERICAN WAY TC - GETWELL,,0,41624,37056,0,0
5137,2,541159,AMERICAN WAY TC - GETWELL,,0,41623,37056,0,0
5137,2,541160,AMERICAN WAY TC - GETWELL,,0,41624,37056,0,0
5137,2,541164,HOLMES - SHELBY - AMERICAN WAY TC,,1,41624,37058,0,0
5137,2,541165,HOLMES - SHELBY - AMERICAN WAY TC,,1,41623,37058,0,0
5137,2,541166,HOLMES - SHELBY - AMERICAN WAY TC,,1,41624,37058,0,0
5137,2,541167,HOLMES - SHELBY - AMERICAN WAY TC,,1,41623,37058,0,0
5137,2,541168,HOLMES - SHELBY - AMERICAN WAY TC,,1,41624,37058,0,0
5137,2,541169,HOLMES - SHELBY - AMERICAN WAY TC,,1,41623,37058,0,0
5137,2,541170,HOLMES - SHELBY - AMERICAN WAY TC,,1,41624,37058,0,0
5137,2,541171,HOLMES - SHELBY - AMERICAN WAY TC,,1,41623,37058,0,0
5137,2,541172,HOLMES - SHELBY - AMERICAN WAY TC,,1,41624,37058,0,0
5138,2,541192,8 CHELSEA DOUGLASS,,0,41629,37059,0,0
5138,2,541193,8 CHELSEA DOUGLASS,,0,41628,37059,0,0
5138,2,541176,,,0,41625,37212,0,0
5138,2,541194,8 CHELSEA DOUGLASS,,0,41629,37059,0,0
5138,2,541177,,,0,41626,37212,0,0
5138,2,541195,8 CHELSEA DOUGLASS,,0,41628,37059,0,0
5138,2,541178,,,0,41627,37212,0,0
5138,2,541196,8 CHELSEA DOUGLASS,,0,41629,37059,0,0
5138,2,541179,,,0,41625,37212,0,0
5138,2,541197,8 CHELSEA DOUGLASS,,0,41628,37059,0,0
5138,2,541180,,,0,41626,37212,0,0
5138,2,541198,8 CHELSEA DOUGLASS,,0,41629,37059,0,0
5138,2,541181,,,0,41627,37212,0,0
5138,2,541199,8 CHELSEA DOUGLASS,,0,41628,37059,0,0
5138,2,541182,,,0,41625,37212,0,0
5138,2,541200,8 CHELSEA DOUGLASS,,0,41629,37059,0,0
5138,2,541183,,,0,41626,37212,0,0
5138,2,541201,8 CHELSEA DOUGLASS,,0,41628,37059,0,0
5138,2,541184,,,0,41627,37212,0,0
5138,2,541202,8 CHELSEA DOUGLASS,,0,41629,37059,0,0
5138,2,541185,,,0,41625,37212,0,0
5138,2,541186,,,0,41626,37212,0,0
5138,2,541222,8 CHELSEA DOWNTOWN,,1,41629,37061,0,0
5138,2,541223,8 CHELSEA DOWNTOWN,,1,41628,37061,0,0
5138,2,541224,8 CHELSEA DOWNTOWN,,1,41629,37061,0,0
5138,2,541207,,,1,41625,37213,0,0
5138,2,541225,8 CHELSEA DOWNTOWN,,1,41628,37061,0,0
5138,2,541208,,,1,41626,37213,0,0
5138,2,541226,8 CHELSEA DOWNTOWN,,1,41629,37061,0,0
5138,2,541209,,,1,41627,37213,0,0
5138,2,541227,8 CHELSEA DOWNTOWN,,1,41628,37061,0,0
5138,2,541210,,,1,41625,37213,0,0
5138,2,541228,8 CHELSEA DOWNTOWN,,1,41629,37061,0,0
5138,2,541211,,,1,41626,37213,0,0
5138,2,541229,8 CHELSEA DOWNTOWN,,1,41628,37061,0,0
5138,2,541212,,,1,41627,37213,0,0
5138,2,541230,8 CHELSEA DOWNTOWN,,1,41629,37061,0,0
5138,2,541213,,,1,41625,37213,0,0
5138,2,541231,8 CHELSEA DOWNTOWN,,1,41628,37061,0,0
5138,2,541214,,,1,41626,37213,0,0
5138,2,541232,8 CHELSEA DOWNTOWN,,1,41629,37061,0,0
5138,2,541215,,,1,41627,37213,0,0
5138,2,541216,,,1,41625,37213,0,0
5138,2,541217,,,1,41626,37213,0,0
5140,2,537280,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537281,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537282,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537283,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537284,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537285,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537286,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537287,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537288,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537289,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537290,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537291,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537292,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537293,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537294,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537295,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537296,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537297,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537298,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537299,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537300,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537301,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537302,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537303,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537304,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537305,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537306,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537307,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537308,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537309,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537310,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537311,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537312,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537313,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537314,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537315,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537316,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537317,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537318,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537319,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537320,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537321,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537322,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537323,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537324,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537325,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537326,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537327,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537328,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537329,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537330,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537331,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537332,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537333,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537334,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537335,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537336,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537337,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537338,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537339,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537340,100 MAIN STREET,,0,41342,37064,0,0
5140,2,537341,100 MAIN STREET,,0,41341,37064,0,0
5140,2,537342,100 MAIN STREET,,0,41340,37064,0,0
5140,2,537343,100 MAIN STREET,,0,41343,37064,0,0
5140,2,537344,100 MAIN STREET,,0,41342,37064,0,0
